AppID,Name,Number of languages,Languages
975470,Silver Chains,11.0,"['English', 'French', 'German', 'Spanish-Spain', 'Russian', 'SimplifiedChinese', 'Portuguese-Brazil', 'Japanese', 'Korean', 'Polish', 'Turkish']"
519140,Minds Eyes,1.0,['English']
748490,The Legend of Heroes: Trails of Cold Steel II,2.0,"['English', 'Japanese']"
338190,Just Get Through,1.0,['English']
1466930,Survival Quiz CITY,2.0,"['Japanese', 'English']"
1528020,Afterlife VR,9.0,"['English', 'German', 'Spanish-Spain', 'Polish', 'Russian', 'French', 'Italian', 'TraditionalChinese', 'SimplifiedChinese']"
906050,Hentai Case Opening,1.0,['English']
351910,Valhalla Hills,12.0,"['English', 'German', 'Russian', 'French', 'Italian', 'Spanish-Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'SimplifiedChinese', 'TraditionalChinese']"
513480,Geo,1.0,['English']
1089830,Monster Energy Supercross - The Official Videogame 3,7.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Portuguese-Brazil', 'Spanish-LatinAmerica']"
491010,IN-VERT: Definitive Edition,3.0,"['English', 'Russian', 'Ukrainian']"
350530,Airport Firefighters - The Simulation,6.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian']"
439460,Ships 2017,7.0,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian']"
418270,Draw Slasher,1.0,['English']
390220,Toilet Tycoon,2.0,"['English', 'German']"
549860,One Night Stand,11.0,"['English', 'Russian', 'French', 'Portuguese-Brazil', 'German', 'SimplifiedChinese', 'Spanish-Spain', 'Portuguese', 'TraditionalChinese', 'Italian', 'Japanese']"
220900,Jack Lumber,1.0,['English']
809890,Shining Resonance Refrain,5.0,"['English', 'Japanese', 'Korean', 'SimplifiedChinese', 'TraditionalChinese']"
570770,å¤å‰‘å¥‡è°­äºŒ(GuJian2),1.0,['SimplifiedChinese']
553260,Realpolitiks,7.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Polish', 'Russian']"
3010,Xpand Rally,1.0,['English']
1217830,Khimera: Puzzle Island,2.0,"['English', 'Japanese']"
