AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
464230,Colours of Magic: Aqua Teeter,0.99,0.99,,,,,0.99,,,,,,0.99,,,0.99,,,0.99,,,,,,,,,,,,,,,,,
1293830,Forza Horizon 4,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,,59.99,59.99,59.99,59.99,,,,,59.99,,,,,,,,,,,,,,
306350,Slipstream 5000,2.99,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557480,Project MIKHAIL: A Muv-Luv War Story,19.99,19.99,,,,,,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12140,Max Payne,3.49,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163340,Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,29.99,29.99,29.99,29.99,,29.99,,29.99,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
541570,Sally Face - Episode One,2.99,2.99,,2.99,2.99,,2.99,,,2.99,,,,,,2.99,,,,,,,,,,,,,,,,,,,,
1131550,I Walk Among Zombies Vol. 3,14.99,14.99,,,,,,,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729790,Escape From School,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368080,Aurion: Legacy of the Kori-Odan,14.99,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066890,Automobilista 2,23.99,23.99,23.99,,23.99,23.99,,,,,,,,,,23.99,,,,,,23.99,,,,,,,,,,,,,,
457140,Oxygen Not Included,24.99,24.99,,,,,24.99,,24.99,,24.99,,,,,,,,,,,,,,,,,,,,,,,,,
1514360,Laid-Back Camp - Virtual - Lake Motosu,13.99,13.99,13.99,,,,,13.99,13.99,13.99,13.99,,,,,,,,,,,,,,,,,,,,,,,,,
863490,Bighead Runner,0.99,0.99,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,
396640,TowerClimb,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726020,Mission Ammunition,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548290,Dark Eden,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546050,Puyo Puyoâ„¢TetrisÂ®,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
